Mes;Origen;Clasificación;Mercancia;Pais de Procedencia;Kilos;Valor US$
Mayo;Bovino;Cárnico;Paticas;Estados Unidos;24494.24;32650
Mayo;Bovino;Cárnico;Paticas;Nicaragua;20916.57;49801.66
Mayo;Bovino;Cárnico;Rabo;Estados Unidos;500;2500
Mayo;Bovino;Cárnico;Torta;Guatemala;17324.43;136961.91
Mayo;Bovino;Cárnico;Tripas Artificiales de Celulosa;Mexico;2892;54048.8
Mayo;Bovino;Cárnico;Tripas Artificiales de Colageno;España;10000;2100
Mayo;Bovino;Cárnico;Tripas Artifificiales Plasticas;Belgica;1341;28116.64
Mayo;Bovino;Cárnico;Tripas Naturales;Estados Unidos;10800;127656
Junio;Bovino;Cárnico;Carne deshuesada;Nicaragua;29000;237486.02
junio;Bovino;Cárnico;Carne Molida;Estados Unidos;1023229.54;1417053.97
junio;Bovino;Cárnico;Carne Molida;Guatemala;19636.36;117936
junio;Bovino;Cárnico;Cortes;Estados Unidos;884001.55;5887304.03
junio;Bovino;Cárnico;Cortes;Nicaragua;65363.72;312029.5
junio;Bovino;Cárnico;Costillas;Estados Unidos;177314.09;679020.23
junio;Bovino;Cárnico;Grasa;España;77007.61;97693.24
junio;Bovino;Cárnico;Hamburguesas;Estados Unidos;11126.86;53387.02
Junio;Bovino;Cárnico;Higado;Estados Unidos;24743.87;47731.57
Junio;Bovino;Cárnico;Lomo;Brasil;52999.99;341618.82
junio;Bovino;Cárnico;Lomo;Estados Unidos;97710.15;310645.66
